prompt,response,ground truth
"Please remove the clouds from an aerial image of the Eiffel Tower in Paris, France, taken on 15/07/2022.","Task: Cloud removal from aerial image
Location: Eiffel Tower, Paris, France
Time: 15/07/2022","cloud removal from aerial image
"
"I need assistance in eliminating clouds from an aerial photograph of Central Park in New York City, USA, dated 10/03/2010 to 20/03/2010.","Task: Cloud removal from aerial image
Location: Central Park, New York City, USA
Time: 10/03/2010-20/03/2010","cloud removal from aerial image
"
"Can you help me remove clouds from an aerial picture of the Sydney Opera House, Sydney, New South Wales, Australia, captured on 02/12/2015?","Task: Cloud removal from aerial image
Location: Sydney Opera House, Sydney, New South Wales, Australia
Time: 02/12/2015","cloud removal from aerial image
"
"I require cloud removal from an aerial image of the Great Wall of China in the Badaling section, Yanqing District, Beijing, China, on 25/09/2018.","Task: Cloud removal from aerial image
Location: Great Wall of China, Badaling, Yanqing District, Beijing, China
Time: 25/09/2018","cloud removal from aerial image
"
"Please perform cloud removal on an aerial photograph of the Grand Canyon, Arizona, USA, from 01/06/2010 to 15/06/2010.","Task: Cloud removal from aerial image
Location: Grand Canyon, Arizona, USA
Time: 01/06/2010-15/06/2010","cloud removal from aerial image
"
"I'm looking for assistance with removing clouds from an aerial image of the Pyramids of Giza, Giza, Egypt, taken on 12/11/2019.","Task: Cloud removal from aerial image
Location: Pyramids of Giza, Giza, Egypt
Time: 12/11/2019","cloud removal from aerial image
"
"Can you help me clear the clouds from an aerial photograph of Mount Everest, Khumjung, Solu-Khumbu, Nepal, dated 05/04/2015 to 10/04/2015?","Task: Cloud removal from aerial image
Location: Mount Everest, Khumjung, Solu-Khumbu, Nepal
Time: 05/04/2015-10/04/2015","cloud removal from aerial image
"
"I need cloud removal services for an aerial image of the Vatican City, Vatican City, captured on 20/07/2017.","Task: Cloud removal from aerial image
Location: Vatican City, Vatican City
Time: 20/07/2017","cloud removal from aerial image
"
"Please calculate the Normalized Difference Vegetation Index (NDVI) for agricultural fields in Ward 5, Nguyen Binh Village, Thai Nguyen City, Thai Nguyen Province, Vietnam, for the period 01/01/2022 to 28/02/2022.","Task: Calculate NDVI
Location: Ward 5, Nguyen Binh Village, Thai Nguyen City, Thai Nguyen Province, Vietnam
Time: 01/01/2022-28/02/2022","calculate Normalized difference vegetation index (NDVI)
"
"I need NDVI calculations for a forested area in the Subdistrict of Evergreen, Jefferson County, Colorado, USA, on 15/05/2020.","Task: Calculate NDVI
Location: Subdistrict of Evergreen, Jefferson County, Colorado, USA
Time: 15/05/2020","calculate Normalized difference vegetation index (NDVI)
"
