prompt,response,ground truth
"Detect changes in a specific building's structure in Ward 5, New Delhi, India. No specific time provided in the request."," Sure, I can assist with that. Could you please provide the date range or a reference to help me identify the time frame for this change detection task in Ward 5, New Delhi, India?",land use/land cover in segmentation
"Identify alterations in a particular land parcel in Subdistrict Hanoi, Vietnam. The timeframe is between 01/04/2020 and 15/05/2020."," Thank you for specifying the timeframe. I'll proceed with the change detection task for the land parcel in Subdistrict Hanoi, Vietnam, from 01/04/2020 to 15/05/2020.",calculate Normalized difference vegetation index (NDVI)
Detect changes in a water body in Singapore without providing a specific date.," Understood, I can assist with the water body change detection in Singapore. Could you please provide the relevant date or time frame for this task?",change of building/land/water body detection
"Identify alterations in a building in Jakarta, Indonesia, without specifying the date. The building is located in Ward 7."," Certainly, I can help with the change detection task for the building in Ward 7, Jakarta, Indonesia. To proceed, please provide the date or a time frame for this task.",calculate Normalized difference vegetation index (NDVI)
"Detect changes in a land area in a village near Bangkok, Thailand, without a specified date. The village's name is Ban Pho."," Thank you for the location details. To continue with the land area change detection in Ban Pho, Thailand, could you kindly provide the date or time frame you have in mind for this task?",aircraft category object detection
"Conduct a change detection task for a building in Commune 4, Ho Chi Minh City, Vietnam. The timeframe for this task is unspecified."," Thank you for providing the location details. To proceed with the change detection task in Commune 4, Ho Chi Minh City, Vietnam, could you please specify the date or time frame you have in mind?",aircraft category object detection
"Detect alterations in a land parcel in Subdistrict Phuket, Thailand, without mentioning a specific date. Please proceed with the task."," Understood, I can assist with the land parcel change detection in Subdistrict Phuket, Thailand. To proceed, could you kindly provide the date or time frame for this task?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Identify changes in a water body near Sentosa Island, Singapore, but the date is not mentioned. Please proceed with the detection task."," Thank you for specifying the location near Sentosa Island, Singapore. To continue with the water body change detection, may I request the date or time frame for this task?",calculate Normalized difference vegetation index (NDVI)
"Perform a change detection task for a building in Subdistrict Bandung, Indonesia, without specifying the date. The building is located in Town Cimahi."," Certainly, I can help with the change detection task for the building in Town Cimahi, Subdistrict Bandung, Indonesia. To proceed, could you please provide the date or time frame for this task?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Detect changes in a land area within a village near Chennai, India, without a specified date. The village is called Thiruvanmiyur."," Thank you for providing the location details. To continue with the land area change detection in Thiruvanmiyur, India, may I kindly request the date or time frame you have in mind for this task?",calculate Normalized difference vegetation index (NDVI)
"Calculate the Normalized Difference Vegetation Index (NDVI) for a specific area in Ward 8, New Delhi, India. However, the time frame for this task is not provided in the request."," Thank you for providing the location details. To proceed with calculating the NDVI for Ward 8, New Delhi, India, could you please specify the date or time frame you have in mind for this task?",change of building/land/water body detection
"Calculate NDVI for a land area in Subdistrict Hanoi, Vietnam, without mentioning a specific date. Please proceed with the calculation."," Understood, I can assist with calculating the NDVI for the land area in Subdistrict Hanoi, Vietnam. To proceed, could you kindly provide the date or time frame for this task?",cloud removal from aerial image
"Calculate the Normalized Difference Vegetation Index (NDVI) for a specific region near Sentosa Island, Singapore, but the date is not mentioned. Please proceed with the calculation task."," Thank you for specifying the location near Sentosa Island, Singapore. To continue with the NDVI calculation, may I request the date or time frame for this task?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Perform NDVI calculation for a land area in Town Cimahi, Subdistrict Bandung, Indonesia, without specifying the date. Please proceed with the task."," Certainly, I can help with the NDVI calculation for the land area in Town Cimahi, Subdistrict Bandung, Indonesia. To proceed, could you please provide the date or time frame for this task?",cloud removal from aerial image
"Calculate NDVI for an agricultural area within a village near Chennai, India, without a specified date. The village is called Thiruvanmiyur."," Thank you for providing the location details. To continue with the NDVI calculation in Thiruvanmiyur, India, may I kindly request the date or time frame you have in mind for this task?",change of building/land/water body detection
"Perform land use/land cover segmentation for a specific area in Ward 6, Mumbai, India. However, the time frame for this task is not provided in the request."," Thank you for providing the location details. To proceed with land use/land cover segmentation for Ward 6, Mumbai, India, could you please specify the date or time frame you have in mind for this task?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
