prompt,response,ground truth
"Can you detect any recent changes in building structures in the city of New York, considering the timeframe from 01/01/2020 to 30/06/2022?","Sure, I can help with that. Before I proceed, please provide the specific administrative area or ward within New York for a more accurate analysis.",calculate Normalized difference vegetation index (NDVI)
I'm interested in changes to land usage in the suburbs of Los Angeles. Can you identify any alterations that occurred during the previous summer (June 2023)?,"Of course, I can assist you. To proceed, could you specify the exact location or commune within the Los Angeles suburbs for the analysis?",tree counting/detection
"Detect any recent alterations in water bodies in the state of Florida, from today (27/07/2014) up to last month (June 2014).","I'm here to help. To provide accurate results, could you please specify the subdistrict or town within Florida that you're interested in for this analysis?",change of building/land/water body detection
Identify any changes in building structures in the greater Chicago area during the past three years (from 27/07/2011 to 27/07/2014).,"Understood. To proceed, I need you to specify the exact village or administrative area within the greater Chicago area for a precise analysis.",calculate Normalized difference vegetation index (NDVI)
"Can you detect any recent alterations in water bodies across the entire state of California, from last summer (June 2023) to today (27/07/2014)?","I can certainly assist with that. However, to provide accurate results, please specify the specific village or commune within California that you'd like me to focus on for this task.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"I want to identify changes in land usage in the city of Miami, Florida, from today (27/07/2014) up to the previous summer (June 2013).","I'm here to help. To ensure precise results, please specify the ward or subdistrict within the city of Miami for this analysis.",cloud removal from aerial image
Detect any alterations in water bodies across the entire state of Texas for the past five years (from 27/07/2009 to 27/07/2014).,"For accurate results, please provide the specific town or village within Texas that you'd like me to focus on for this task.",aircraft category object detection
"Identify any recent changes in building structures in the city of San Francisco, from the beginning of this year (01/01/2023) to today (27/07/2014).","I'm ready to assist. However, for precise results, could you specify the administrative area or ward within San Francisco that you're interested in for this analysis?",aircraft category object detection
"Can you detect any alterations in land usage in the suburbs of Houston, Texas, from last month (June 2023) to today (27/07/2014)?","To ensure accuracy, please provide the specific commune or subdistrict within the suburbs of Houston for this analysis.",calculate Normalized difference vegetation index (NDVI)
"I want to identify changes in water bodies in the state of Arizona, from today (27/07/2014) to two summers ago (June 2012).","Understood. To proceed, could you specify the exact location or village within the state of Arizona for this task?",tree counting/detection
"Detect any recent changes in building structures within the administrative area of Ward 5, Boston, from today (03/12/2022) to last summer (June 2022).","I'm ready to assist. However, to provide accurate results, please specify the town or village within Ward 5, Boston, for this analysis.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Identify any alterations in land usage within the subdistrict of Queens, New York, from the beginning of the year (01/01/2023) to today (03/12/2022).","To proceed, could you specify the commune or administrative area within Queens, New York, that you'd like me to focus on for this analysis?",cloud removal from aerial image
"I want to detect any changes in water bodies in the town of San Diego, California, from today (03/12/2022) to two summers ago (June 2020).","Understood. To provide precise results, please specify the specific ward or subdistrict within the town of San Diego.",change of building/land/water body detection
"Can you identify any recent alterations in building structures within the village of Arlington, Virginia, from last month (November 2022) to today (03/12/2022)?","I'm here to assist. For accuracy, please provide the administrative area or commune within Arlington, Virginia.",calculate Normalized difference vegetation index (NDVI)
"Detect any changes in land usage within the subdistrict of Brooklyn, New York, from today (03/12/2022) to last summer (June 2022).","However, to provide precise results, could you specify the village or administrative area within Brooklyn, New York, for this analysis?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"I want to identify changes in water bodies in the town of Miami Beach, Florida, from today (03/12/2022) up to the previous summer (June 2021).","I'm ready to assist. To ensure accuracy, please specify the ward or subdistrict within Miami Beach, Florida.",aircraft category object detection
"Identify any recent changes in building structures within the administrative area of Ward 3, Washington, D.C., from last month (November 2022) to today (03/12/2022).","Understood. To provide precise results, please specify the village or commune within Ward 3, Washington, D.C.",tree counting/detection
"Can you detect any alterations in land usage within the subdistrict of Oakland, California, from today (03/12/2022) to last summer (June 2022)?","However, for accuracy, please provide the specific town or village within Oakland, California, that you'd like me to focus on for this analysis.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Identify any changes in water bodies in the town of Honolulu, Hawaii, from today (03/12/2022) to two summers ago (June 2020).","I'm here to assist. To provide precise results, please specify the administrative area or ward within Honolulu, Hawaii.",change of building/land/water body detection
"I want to detect any recent alterations in building structures within the village of Cambridge, Massachusetts, from last month (November 2022) to today (03/12/2022).","Understood. For accurate results, please provide the commune or subdistrict within Cambridge, Massachusetts.",cloud removal from aerial image
"Remove clouds from an aerial image taken in Ward 7, Seattle, on 15/05/2021.","To proceed, please provide me with the exact coordinates or location details for Ward 7, Seattle.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"I need you to remove clouds from an aerial image captured in the commune of Lyon, France, on 10/08/2022.","To proceed, could you provide the specific latitude and longitude coordinates or a detailed address within Lyon, France?",calculate Normalized difference vegetation index (NDVI)
"Remove clouds from an aerial image taken in the subdistrict of Manhattan, New York City, last month (October 2020).","Understood. To ensure accuracy, please provide the exact coordinates or a detailed location description within Manhattan, New York City.",land use/land cover in segmentation
